date,country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id,sni_covid19_vaccination,sni_vaccination_intent,sni_safety_side_effects
2021-10-04,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,79.291,26.001,
2021-11-01,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,70.422,36.902,
2021-12-06,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,68.064,35.384,
2022-01-24,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,142.11,75.23,
2022-04-18,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,23.876,13.754,
2022-04-04,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,34.173,18.177,
2021-11-29,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,75.597,36.744,
2022-03-07,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,46.85,24.868,
2021-03-29,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,29.47,,
2022-05-09,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,21.676,12.383,
2021-06-07,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,45.051,19.755,
2021-05-24,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,40.409,17.313,
2021-08-16,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,67.633,32.494,
2021-11-08,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,80.061,36.726,
2021-07-19,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,45.042,18.841,
2021-10-11,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,78.096,32.506,
2022-04-11,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,23.753,15.629,
2022-03-28,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,37.509,20.795,
2021-07-05,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,42.568,14.864,
2022-07-18,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,22.389,,
2021-04-19,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,30.315,,
2021-06-21,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,37.226,15.549,
2022-01-03,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,165.791,94.637,
2022-03-14,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,47.599,24.537,
2021-07-12,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,37.426,,
2022-01-31,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,111.568,61.227,
2022-05-30,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,23.633,13.662,
2021-10-18,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,101.177,48.746,
2021-11-15,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,77.734,37.966,
2022-03-21,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,45.13,22.925,
2021-12-20,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,84.472,46.361,
2021-08-09,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,61.297,28.712,
2022-05-23,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,20.23,,
2021-12-27,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,94.092,49.965,
2021-09-20,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,53.126,20.727,
2021-10-25,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,94.197,49.841,
2022-01-17,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,169.768,96.397,
2021-07-26,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,47.427,18.745,
2022-04-25,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,27.924,16.237,
2022-05-16,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,19.01,,
2021-08-30,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,60.914,22.52,
2022-01-10,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,206.474,105.807,
2022-02-21,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,54.35,30.94,
2022-07-11,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,27.658,18.712,
2021-09-27,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,68.984,26.404,
2022-02-07,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,76.424,42.443,
2021-06-14,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,30.126,,
2022-02-28,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,53.264,25.695,
2022-07-04,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,20.76,13.686,
2022-02-14,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,67.438,42.876,
2021-04-26,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,34.383,16.486,
2021-12-13,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,72.302,42.12,
2021-09-06,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,72.059,25.231,17.022
2021-09-13,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,73.891,33.029,
2021-06-28,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,78.288,36.913,
2022-06-06,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,,11.096,
2021-08-23,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,69.049,30.696,
2021-05-31,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,29.903,,
2021-11-22,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,73.599,34.888,
2021-08-02,Australia,AU,Western Australia,AU-WA,Shire of Toodyay,,,,ChIJ--guQW4ozSsRbePnYkBlnDU,71.254,34.636,
2021-07-26,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,52.863,12.952,7.911
2021-08-09,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,53.004,14.647,7.257
2023-07-24,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,3.0,,
2021-02-15,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,78.207,11.242,14.735
2021-02-22,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,85.972,19.078,11.498
2022-03-21,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,27.732,8.065,1.612
2021-02-08,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,64.062,8.328,10.059
2022-10-03,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,25.599,11.614,2.389
2021-05-31,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,80.735,21.097,12.021
2022-01-24,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,32.13,6.415,2.453
2022-07-04,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,15.52,4.509,0.853
2021-05-03,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,57.707,16.879,14.626
2022-07-25,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,12.432,3.185,0.802
2023-01-23,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,7.505,1.47,0.592
2022-10-17,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,23.158,9.453,2.464
2023-03-13,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.131,0.615,0.408
2022-10-24,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,18.046,6.846,2.408
2021-03-15,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,92.929,22.548,17.475
2023-01-09,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,7.669,1.569,1.108
2021-09-27,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,35.449,9.451,4.069
2023-03-20,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.917,0.676,0.571
2021-07-12,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,69.112,19.155,9.724
2022-08-22,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,9.012,2.378,0.75
2023-05-08,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.089,1.541,0.644
2022-12-26,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.443,1.74,0.671
2023-01-16,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.074,1.253,0.591
2021-08-23,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,44.215,11.964,6.228
2023-05-22,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.562,1.177,0.457
2022-11-28,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,8.193,2.636,0.954
2021-06-21,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,82.282,24.829,11.912
2021-06-07,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,70.631,28.549,12.318
